,NDOI,smscg,tide
5/11/1924,4674,1,4.177700043
5/12/1924,4672,1,4.358299732
5/13/1924,4670,1,4.535399914
5/14/1924,4668,1,4.784500122
5/15/1924,4666,1,5.033800125
5/16/1924,4665,1,5.971099854
5/17/1924,4664,1,7.003000259
5/18/1924,4663,1,7.699399948
5/19/1924,4662,1,8.024299622
5/20/1924,4660,1,8.072299957
5/21/1924,4659,1,7.925799847
5/22/1924,4658,1,7.495899677
5/23/1924,4656,1,6.67689991
5/24/1924,4653,1,5.719399929
5/25/1924,4650,1,5.368700027
5/26/1924,4645,1,5.125
5/27/1924,4637,1,4.857699871
5/28/1924,4624,1,4.595099926
5/29/1924,4598,1,5.174399853
5/30/1924,4536,1,5.509799957
5/31/1924,4318,1,5.910900116
6/1/1924,4103,1,6.067299843
6/2/1924,4044,1,6.232300282
6/3/1924,4020,1,6.184899807
6/4/1924,4008,1,6.071400166
6/5/1924,4001,1,5.870900154
6/6/1924,3996,1,5.727799892
6/7/1924,3993,1,5.302600384
6/8/1924,3991,1,4.846400261
6/9/1924,3990,1,4.710599899
6/10/1924,3989,1,4.735800266
6/11/1924,3988,1,4.750800133
6/12/1924,3987,1,4.724500179
6/13/1924,3987,1,5.790800095
6/14/1924,3986,1,6.88010025
6/15/1924,3986,1,7.709300041
6/16/1924,3986,1,8.256400108
6/17/1924,3986,1,8.576700211
6/18/1924,3985,1,8.436900139
6/19/1924,3985,1,7.953800201
6/20/1924,3985,1,7.532999992
6/21/1924,3985,1,6.500999928
6/22/1924,3985,1,5.663600445
6/23/1924,3985,1,5.19630003
6/24/1924,3985,1,4.754899979
6/25/1924,3986,1,4.386600018
6/26/1924,3986,1,4.786100388
6/27/1924,3987,1,5.220399857
6/28/1924,3988,1,5.721400261
6/29/1924,3991,1,6.010800362
6/30/1924,4004,1,6.292599678
7/1/1924,4016,1,6.454699993
7/2/1924,4020,1,6.458800316
7/3/1924,4021,1,6.420899868
7/4/1924,4022,1,6.099400043
7/5/1924,4023,1,6.00369978
7/6/1924,4023,1,5.596600056
7/7/1924,4023,1,5.044000149
7/8/1924,4023,1,4.89289999
7/9/1924,4023,1,4.736599922
7/10/1924,4023,1,4.90599966
7/11/1924,4023,1,5.313300133
7/12/1924,4023,1,6.274199963
7/13/1924,4022,1,7.128399849
7/14/1924,4022,1,7.874400139
7/15/1924,4022,1,8.364600182
7/16/1924,4021,1,8.458100319
7/17/1924,4021,1,8.122699738
7/18/1924,4020,1,7.339000225
7/19/1924,4019,1,7.031400204
7/20/1924,4018,1,5.980899811
7/21/1924,4017,1,5.284999847
7/22/1924,4015,1,4.641599655
7/23/1924,4013,1,4.081399918
7/24/1924,4009,1,4.281199932
7/25/1924,4004,1,4.607000351
7/26/1924,3997,1,5.039099693
7/27/1924,3986,1,5.456600189
7/28/1924,3966,1,5.8677001
