,NDOI,smscg,tide
5/23/1924,4655.429556,1,6.67689991
5/24/1924,4653.01075,1,5.719399929
5/25/1924,4649.677945,1,5.368700027
5/26/1924,4644.798336,1,5.125
5/27/1924,4637.127807,1,4.857699871
5/28/1924,4623.922538,1,4.595099926
5/29/1924,4598.083155,1,5.174399853
5/30/1924,4536.148197,1,5.509799957
5/31/1924,4317.746243,1,5.910900116
6/1/1924,4103.223188,1,6.067299843
6/2/1924,4044.155269,1,6.232300282
6/3/1924,4019.876492,1,6.184899807
6/4/1924,4007.611233,1,6.071400166
6/5/1924,4000.578358,1,5.870900154
6/6/1924,3996.185003,1,5.727799892
6/7/1924,3993.266206,1,5.302600384
6/8/1924,3991.235591,1,4.846400261
6/9/1924,3989.771943,1,4.710599899
6/10/1924,3988.68738,1,4.735800266
6/11/1924,3987.866118,1,4.750800133
6/12/1924,3987.23372,1,4.724500179
6/13/1924,3986.740652,1,5.790800095
6/14/1924,3986.353023,1,6.88010025
6/15/1924,3986.047145,1,7.709300041
6/16/1924,3985.80624,1,8.256400108
6/17/1924,3985.618396,1,8.576700211
6/18/1924,3985.475315,1,8.436900139
6/19/1924,3985.371581,1,7.953800201
6/20/1924,3985.304349,1,7.532999992
6/21/1924,3985.273442,1,6.500999928
6/22/1924,3985.281988,1,5.663600445
6/23/1924,3985.337965,1,5.19630003
6/24/1924,3985.457558,1,4.754899979
6/25/1924,3985.672618,1,4.386600018
6/26/1924,3986.04859,1,4.786100388
6/27/1924,3986.733271,1,5.220399857
6/28/1924,3988.115445,1,5.721400261
6/29/1924,3991.503572,1,6.010800362
6/30/1924,4003.833843,1,6.292599678
7/1/1924,4016.385493,1,6.454699993
7/2/1924,4019.933328,1,6.458800316
7/3/1924,4021.396151,1,6.420899868
7/4/1924,4022.121317,1,6.099400043
7/5/1924,4022.515286,1,6.00369978
7/6/1924,4022.733799,1,5.596600056
7/7/1924,4022.845984,1,5.044000149
7/8/1924,4022.885327,1,4.89289999
7/9/1924,4022.868545,1,4.736599922
7/10/1924,4022.803468,1,4.90599966
7/11/1924,4022.692583,1,5.313300133
7/12/1924,4022.534656,1,6.274199963
7/13/1924,4022.325374,1,7.128399849
7/14/1924,4022.057411,1,7.874400139
7/15/1924,4021.720042,1,8.364600182
7/16/1924,4021.29832,1,8.458100319
7/17/1924,4020.771691,1,8.122699738
7/18/1924,4020.111814,1,7.339000225
7/19/1924,4019.279142,1,7.031400204
7/20/1924,4018.217467,1,5.980899811
7/21/1924,4016.844997,1,5.284999847
7/22/1924,4015.039211,1,4.641599655
7/23/1924,4012.610055,1,4.081399918
7/24/1924,4009.249987,1,4.281199932
7/25/1924,4004.434853,1,4.607000351
7/26/1924,3997.21143,1,5.039099693
7/27/1924,3985.69512,1,5.456600189
7/28/1924,3965.719056,1,5.8677001
7/29/1924,3926.490696,1,6.206000328
7/30/1924,3832.330508,1,6.377399921
7/31/1924,3500.161632,1,6.534900188
8/1/1924,3167.992707,1,6.366400242
8/2/1924,3073.832359,1,6.15199995
8/3/1924,3034.603716,1,5.855400085
8/4/1924,3014.627227,1,5.389899731
8/5/1924,3003.110329,1,5.032299995
8/6/1924,2995.88613,1,4.704699516
8/7/1924,2991.070004,1,4.720699787
8/8/1924,2987.708689,1,5.377399921
8/9/1924,2985.277988,1,5.689100266
8/10/1924,2983.470305,1,6.353900433
8/11/1924,2982.09552,1,7.045599937
8/12/1924,2981.031029,1,7.571000099
8/13/1924,2980.194932,1,7.813899994
8/14/1924,2979.530889,1,7.686199665
8/15/1924,2978.999178,1,7.19879961
8/16/1924,2978.57123,1,6.492099762
8/17/1924,2978.226189,1,6.060500145
8/18/1924,2977.948696,1,5.056300163
8/19/1924,2977.727457,1,4.524800301
8/20/1924,2977.554343,1,3.926500082
8/21/1924,2977.423877,1,3.95630002
8/22/1924,2977.333079,1,4.149600029
8/23/1924,2977.281736,1,4.161399841
