,NDOI,smscg,tide,X2_DIS
1/3/1924,9749.09986,0,7.348700047,87.01277749
1/4/1924,9830.29977,0,8.049699783,87.37291491
1/5/1924,9877.187946,0,8.374500275,87.62998974
1/6/1924,9906.687997,0,8.350099564,88.01915162
1/7/1924,9926.458299,0,8.073800087,88.2900072
1/8/1924,9940.3771,0,7.449399948,87.5675724
1/9/1924,9950.582294,0,6.48210001,85.83221039
1/10/1924,9958.334518,0,5.402100086,85.34492598
1/11/1924,9964.420224,0,4.777699947,85.23833841
1/12/1924,9969.355363,0,4.215899944,84.590248
1/13/1924,9973.495375,0,3.705699921,84.06292974
1/14/1924,9977.098272,0,3.81619978,83.61004206
1/15/1924,9980.363158,0,4.269500256,83.77178061
1/16/1924,9983.455616,0,4.853600025,84.47882232
1/17/1924,9986.526368,0,5.419199944,84.89749951
1/18/1924,9989.72726,0,5.829800129,85.12264756
1/19/1924,9993.227829,0,6.318600178,84.88301995
1/20/1924,9997.23595,0,6.634199619,84.63785051
1/21/1924,10002.02758,0,6.770699978,85.19468304
1/22/1924,10007.99428,0,6.848799706,85.29588694
1/23/1924,10015.72498,0,6.603899956,84.90167023
1/24/1924,10026.15683,0,6.137900352,84.39435862
1/25/1924,10040.87294,0,5.440899849,84.24253881
1/26/1924,10062.73942,0,4.944700241,84.32547646
1/27/1924,10097.41062,0,4.552100182,84.11238927
1/28/1924,10157.37624,0,4.257400036,82.66528269
1/29/1924,10274.97282,0,4.932099819,82.28959937
1/30/1924,10557.08795,0,5.697100163,82.53211131
1/31/1924,11552.15518,0,6.451900005,83.12461303
2/1/1924,12511.33988,0,7.097199917,83.24524919
2/2/1924,12767.46558,0,7.51970005,82.66376807
2/3/1924,12871.23429,0,7.686200142,81.90692145
2/4/1924,12923.16376,0,7.625899792,81.81476745
2/5/1924,12952.69426,0,7.278999805,81.76274972
2/6/1924,12970.96736,0,6.602399826,81.8680094
2/7/1924,12982.95029,0,5.764100075,81.40517996
2/8/1924,12991.12519,0,4.878499985,80.22164752
2/9/1924,12996.83985,0,4.248000145,78.78326925
2/10/1924,13000.87209,0,3.663199902,77.26088247
2/11/1924,13003.69013,0,3.531900167,75.64934755
2/12/1924,13005.58199,0,3.64109993,75.28826548
2/13/1924,13006.72335,0,3.925800323,76.79513777
2/14/1924,13007.21395,0,4.354800224,77.48874181
2/15/1924,13007.09646,0,4.873399734,77.00600504
2/16/1924,13006.36434,0,5.449100018,76.29965258
2/17/1924,13004.96098,0,5.904699802,75.53883596
2/18/1924,13002.77019,0,6.263800144,76.32905957
2/19/1924,12999.59482,0,6.547600269,76.92631695
2/20/1924,12995.1166,0,6.546299934,76.5499206
2/21/1924,12988.82196,0,6.278600216,75.91236338
2/22/1924,12979.86074,0,5.628000259,75.90355135
2/23/1924,12966.76239,0,5.112100124,75.45923797
2/24/1924,12946.82092,0,4.781000137,75.00166174
2/25/1924,12914.62331,0,4.949800014,74.99650282
2/26/1924,12858.03008,0,5.120100021,75.10279854
2/27/1924,12744.9663,0,5.325099945,75.16084382
2/28/1924,12465.92123,0,5.611999989,74.98246308
2/29/1924,11420.92719,0,5.999700069,75.19076613
3/1/1924,10336.8494,1,6.322899818,77.0079492
3/2/1924,10029.51778,1,6.567699909,78.38138529
3/3/1924,9901.438741,1,6.608300209,77.11894238
3/4/1924,9836.165036,1,6.420700073,75.72135476
3/5/1924,9798.470121,1,6.041699886,75.68299164
3/6/1924,9774.750302,1,5.460800171,75.71546921
3/7/1924,9758.84938,1,4.687600136,76.20014608
3/8/1924,9747.649622,1,4.303600311,75.88069739
3/9/1924,9739.432145,1,4.186299801,75.06107879
3/10/1924,9733.183128,1,4.067500114,74.69560518
3/11/1924,9728.269786,1,3.913599968,74.57439241
3/12/1924,9724.276613,1,3.745900154,74.08540672
3/13/1924,9720.91692,1,3.779799938,74.11777253
3/14/1924,9717.982061,1,3.970099926,74.60183882
3/15/1924,9715.310376,1,4.299600124,74.4847247
3/16/1924,9712.766643,1,4.782600403,74.52488796
3/17/1924,9710.226886,1,5.289000034,74.40454023
3/18/1924,9707.56522,1,5.62899971,74.89496788
3/19/1924,9704.640077,1,5.864500046,75.64831647
3/20/1924,9701.276882,1,5.778699875,76.42166397
3/21/1924,9697.242958,1,5.512700081,77.14426601
3/22/1924,9692.207344,1,5.512899876,77.66120194
3/23/1924,9685.671471,1,5.854599953,78.17257171
3/24/1924,9676.841354,1,6.023499966,78.52527535
3/25/1924,9664.375137,1,6.04640007,78.52785808
3/26/1924,9645.842899,1,5.894000053,78.34372939
3/27/1924,9616.450329,1,5.682299614,78.27341171
3/28/1924,9565.606913,1,5.507899761,78.04852933
